name,qid,label,description,match_type
3D printing,Q229367,3D printing,layer-by-layer additive process used to make a three-dimensional object,label
6G,Q59324875,6G,6th generation of cellular mobile communications,label
Artificial intelligence,Q11660,artificial intelligence,field of computer science that develops and studies intelligent machines; also referring to such software,label
Augmented reality,Q254183,augmented reality,interactive experience of a real-world environment enhanced by computer-generated perceptual information spatially registered to the user's environment,label
Blockchain,Q20514253,blockchain,distributed data store for digital transactions,label
Cancer vaccine,Q2378309,cancer vaccine,vaccine that either treats existing cancer or prevents development of cancer,label
Cloud computing,Q483639,cloud computing,"form of Internet-based computing, whereby shared resources, software and information are provided to computers and other devices",label
Cultured meat,Q611909,cultured meat,animal flesh product that has never been part of a living animal,label
Data science,Q2374463,data science,field of study to extract insights from data,label
Digital twin,Q25099680,digital twin,digital replica of a living or non-living physical entity,label
Gene therapy,Q213901,gene therapy,genetic modification of a patient's cells to produce a therapeutic effect,label
Nanotechnology,Q11468,nanotechnology,field of applied science whose theme is the control of matter on atomic and (supra)molecular scale,label
Neurotechnology,Q3305355,neurotechnology,technology influencing the brain and consciousness,label
Prompt engineering,Q108941486,prompt engineering,creation or optimization of a prompt to be given to an artificial intelligence model,label
Quantum computing,Q17995793,quantum computing,study of a model of computation,label
Reusable launch vehicle,Q30128,reusable launch vehicle,space launch vehicle designed to be partially or fully reused,label
Robotics,Q170978,robotics,"design, construction, operation, and application of robots",label
Spatial computing,Q85802496,spatial computing,term regarding augmented reality,label
Stem-cell therapy,Q1533033,stem-cell therapy,use of stem cells to treat or prevent a disease or condition,label
Sustainable energy,Q1962383,sustainable energy,energy usage that meets the needs of the present without compromising the needs of future generations,label
Virtual reality,Q170519,virtual reality,computer-simulated environment simulating physical presence in real or imagined worlds,label
Wearable technology,Q4845080,wearable technology,clothing and accessories incorporating computer and advanced electronic technologies,label
WebAssembly,Q20155677,WebAssembly,"portable, efficient virtual machine and bytecode format for compiled code on the Web",label
